Year,GDP,Population,Trade,Urban population growth,PPP conversion factor GDP (LCU per international $),GDP per capita PPP (current international $)
1980,237393489893,121207461,21.98627001,3.770277358,0,0
1981,258015174749,124063109,22.90160123,3.697041122,0,0
1982,271314113768,126923155,16.94716171,3.614175002,0,0
1983,189656506321,129790077,22.62622678,3.533484158,0,0
1984,188339974087,132658864,23.71466413,3.452020888,0,0
1985,210879844639,135515595,20.60840893,3.357627188,0,0
1986,256480852471,138336370,15.85950765,3.256759738,0,0
1987,283056836894,141104944,16.2712137,3.143066399,0,0
1988,307881930752,143826357,17.76642732,3.040473421,0,0
1989,412990820287,146502972,14.39090105,2.939586864,0,0
1990,464989098145,149143223,15.15559908,2.851009488,0,6687.92294833905
1991,342534090909,151724256,16.59207776,2.749343126,0,6866.63038103352
1992,328191909882,154275079,19.25337479,2.671691472,0.000604804339700938,6869.41000556192
1993,368292034381,156794577,19.59932055,2.59207132,0.0123840650909725,7259.9888571372
1994,525369467296,159265006,18.6747598,2.506579812,0.283749422453184,7727.24541732654
1995,769333050987,161735073,16.98446,2.454151814,0.539108158172348,8096.91149172834
1996,850426432992,164202549,15.63559148,2.401793838,0.627126072150667,8300.63414175218
1997,883206179730,166661659,16.57620926,2.434715789,0.664143975888066,8601.60903055747
1998,863710759256,169159655,16.43858493,2.410732672,0.689104221242386,8598.80569251682
1999,599642024320,171641543,20.98216648,2.348738895,0.733919243573724,8634.60784573779
2000,655448231984,174018282,22.63976136,2.23613459,0.757895423863969,9091.76851396714
2001,559983634799,176301203,26.93628502,1.746994185,0.802170641881124,9303.6452918321
2002,509795273807,178503484,27.6183574,1.641585405,0.86729057252896,9616.5948552087
2003,558233745652,180622688,28.14038472,1.573917298,0.970343048282448,9801.96212478865
2004,669289424806,182675143,29.67825248,1.516015344,1.0181847510778,10525.711378708
2005,891633839853,184688101,27.08679521,1.474486108,1.0605939083,11081.247473701
2006,1107626541711,186653106,26.04169989,1.430679379,1.09856354092293,11750.5312440167
2007,1397114486471,188552320,25.29261137,1.378534808,1.13845673015531,12672.5051161153
2008,1695855083552,190367302,27.25756942,1.318039484,1.21498747296503,13445.2454699613
2009,1666996438681,192079951,22.1059756,1.247256162,1.29585280198645,13390.6831318342
2010,2208837745214,193701929,22.77217811,1.186532494,1.38813702347076,14451.715839153
2011,2616156223977,195284734,23.93440518,1.16418034,1.4732164144516,15211.7920395129
2012,2465227803012,196876111,25.11427361,1.156032159,1.60913586532018,15198.0863321248
2013,2472819535743,198478299,25.78595733,1.146721464,1.70855542893458,15722.3335254698
2014,2456043727199,200085127,24.68540581,1.137888414,1.82485052496386,15827.3081625514
2015,1802212206905,201675532,26.95362594,1.116370829,2.00586931129873,14821.438318195
2016,1795693482653,203218114,24.53368208,1.078598167,2.15597159643949,14309.2061473297
2017,2063514977334,204703445,24.31973437,1.038079352,2.2096791267395,14559.0488894794
2018,1916933898038,206107261,28.87620338,0.9842302722,2.19759154319763,15463.7426396097
2019,1873288205186,207455459,28.89025787,0.9461241071,2.21644520759583,16069.8380163501
2020,1476107231194,208660842,32.30207855,0.8657271944,2.26491117477417,16101.618305077
2021,1670647399035,209550294,37.65633076,0.7051935082,2.37927412986755,18075.7060063108
2022,1951923942083,210306415,38.81606598,0.6323804573,2.41127335878037,19876.8533546887
2023,2173665655937,211140729,33.85394659,0.6616933848,2.43595911597318,21107.2821033791
