Year,GDP,Population,Trade,Urban population growth,PPP conversion factor GDP (LCU per international $),GDP per capita PPP (current international $)
1980,191149211575,981235000,21.57917873,5.157283705,0,0
1981,195866382433,993885000,23.78648108,5.131868951,0,0
1982,205089699859,1008630000,19.69296831,5.295666246,0,0
1983,230686747153,1023310000,17.92110271,4.474842022,0,0
1984,259946510957,1036825000,19.03261174,4.320433025,0,0
1985,309488028133,1051040000,20.71285501,4.339047124,0,0
1986,300758100107,1066790000,19.88147995,4.438100593,0,0
1987,272972974765,1084035000,24.85766508,4.531582208,0,0
1988,312353631208,1101630000,30.06477059,4.514830994,0,0
1989,347768051312,1118650000,25.1056952,4.402632038,0,0
1990,360857912566,1135185000,24.27313211,4.309678481,1.693857618,981.5092026
1991,383373318084,1150780000,25.9497241,4.601685132,1.748462607,1093.667035
1992,426915712716,1164970000,30.14571645,4.42511729,1.849519487,1262.141127
1993,444731282436,1178440000,36.05607787,4.301547743,2.081057195,1454.624662
1994,564321854521,1191835000,35.76999345,4.245840597,2.45763318,1660.495121
1995,734484834574,1204855000,34.27703884,4.159637994,2.736117997,1860.687308
1996,863749314719,1217550000,33.81464379,4.086051744,2.861757778,2061.043701
1997,961601980985,1230075000,34.53308818,4.008285508,2.858722872,2266.922351
1998,1029060747621,1241935000,32.42414013,3.908078566,2.801502054,2448.650943
1999,1094003874937,1252735000,33.52436425,3.77008873,2.727520343,2650.514524
2000,1211331651866,1262645000,39.4110339,3.649252711,2.722122054,2917.602155
2001,1339400897105,1271850000,38.52721033,4.059565758,2.71667416,3208.585838
2002,1470557654800,1280400000,42.74718156,4.198001148,2.691209971,3532.315658
2003,1660280543847,1288400000,51.80421957,4.078403526,2.707806331,3939.018856
2004,1955346768721,1296075000,59.50553141,3.97537213,2.820214783,4427.657138
2005,2285961149880,1303720000,62.20802192,3.882472976,2.841223484,5056.987526
2006,2752118657184,1311020000,64.4791912,3.674728093,2.86445055,5843.353091
2007,3550327802998,1317885000,62.19362509,3.511255552,3.005022656,6820.040847
2008,4594336785738,1324655000,57.61234224,3.433957689,3.178042909,7583.348896
2009,5101691124285,1331260000,45.18497621,3.338102468,3.151943271,8305.8411
2010,6087191746679,1337705000,50.71707766,3.255365494,3.32839098,9256.103882
2011,7551545703441,1345035000,50.74090459,3.123377177,3.524467707,10292.94048
2012,8532185381681,1354190000,48.26752237,3.130656596,3.540276769,11233.97277
2013,9570471111832,1363240000,46.74437558,3.048365006,3.621192961,12011.68059
2014,10475624944355,1371860000,44.90521595,2.953497442,3.693706981,12700.44402
2015,11061572618579,1379860000,39.46416934,2.842870548,3.781514936,13201.67383
2016,11233313730349,1387790000,36.89441502,2.775641769,3.874289636,13882.02805
2017,12310491333981,1396215000,37.63241324,2.73966382,4.040052414,14750.36583
2018,13894907857881,1402760000,37.5657841,2.503400504,4.094089985,16006.91312
2019,14279968506272,1407745000,35.89009603,2.290177234,4.059609413,17262.1759
2020,14687744162801,1411100000,34.7542957,2.078140058,4.014656544,17891.48029
2021,17820459508852,1412360000,37.30199087,1.838530282,3.987408876,20406.72966
2022,17881782683707,1412175000,38.35148208,1.649480857,3.789924404,22509.63635
2023,17794783039552,1410710000,37.31677136,1.472761965,3.636979369,24569.28651
