Year,GDP,Population,Trade,Urban population growth,PPP conversion factor GDP (LCU per international $),GDP per capita PPP (current international $)
1980,186328579302,687354025,15.38457685,3.96447198,0,0
1981,193491368446,703696250,14.50726476,3.72135398,0,0
1982,200715624831,720313473,14.12592775,3.311369852,0,0
1983,218262146413,737372681,13.69059389,3.31700925,0,0
1984,212157645178,754875449,14.00937594,3.321103532,0,0
1985,232511554840,772647793,12.90003619,3.296913934,0,0
1986,248985994041,790689978,12.2192719,3.276943373,0,0
1987,279033584092,808931270,12.58481404,3.244214415,0,0
1988,296589670896,827342990,13.49045012,3.212740737,0,0
1989,296042052945,846039529,15.16813209,3.195608257,0,0
1990,320979026420,864972221,15.50626151,3.16491949,5.495488411,1211.982526
1991,270105341879,883927600,16.98772655,3.067929147,6.046729059,1239.058006
1992,288208070278,902957070,18.43309904,2.925939944,6.442023206,1308.600466
1993,279295648983,922118387,19.65153979,2.893348464,6.913450316,1374.101529
1994,327274843459,941163767,20.07814438,2.835383168,7.444461724,1466.604255
1995,360281909643,960301044,22.86744871,2.797787198,7.952394189,1578.671244
1996,392896866205,979678458,21.92948787,2.783926547,8.400987207,1694.739808
1997,415867563593,999133762,22.61938687,2.750160235,8.793419976,1758.853362
1998,421351317225,1018665080,23.69947008,2.71727555,9.392231585,1852.406491
1999,458821052616,1038225823,24.81559804,2.680926083,9.545346381,2006.272867
2000,468395521654,1057922733,26.90092291,2.65589005,9.674133405,2090.858069
2001,485440139204,1077898575,25.99325475,2.773735492,9.765331406,2199.539104
2002,514939140319,1097600380,29.50866294,2.972234548,9.973197288,2277.069748
2003,607700687237,1116803006,30.59243613,2.888999353,10.15838199,2461.482516
2004,709152728831,1135991513,37.50381406,2.855388294,10.45874648,2681.861168
2005,820383763511,1154676322,42.00166961,2.773544114,10.71089194,2936.80322
2006,940259888788,1172878890,45.7244805,2.700114512,11.26336361,3220.626929
2007,1216736438835,1190676021,45.68626868,2.639252877,11.72780222,3508.061832
2008,1198895139006,1207930964,53.36822044,2.569253188,12.56398134,3633.367832
2009,1341888016995,1225524753,46.27286964,2.567131144,13.36609206,3886.581977
2010,1675615519485,1243481564,49.2552065,2.569754199,14.59563226,4206.45986
2011,1823051829895,1261224954,55.62388001,2.529272004,15.5495491,4454.701532
2012,1827637590410,1278674502,55.79372173,2.512202205,16.13566331,4819.642882
2013,1856721507622,1295829511,53.84413195,2.492419885,17.28834281,5014.350566
2014,2039126479155,1312277191,48.92218575,2.444773005,18.30076662,5191.591499
2015,2103588360045,1328024498,41.92291387,2.399113215,19.11544121,5425.035991
2016,2294796885663,1343944296,40.08248571,2.419680562,19.7442391,5800.481494
2017,2651474262755,1359657400,40.74249695,2.414246798,20.45557785,6144.717144
2018,2702929641649,1374659064,43.61696933,2.368941207,20.47459602,6714.966399
2019,2835606256558,1389030312,39.90540353,2.330505202,20.23950005,7150.924235
2020,2674851578587,1402617695,37.75810533,2.281852367,20.31936646,6966.275428
2021,3167270623260,1414203896,45.42308878,2.150900565,20.72789574,8050.018575
2022,3353470496886,1425423212,49.96531997,2.134499241,20.65399089,9153.880842
2023,3567551674623,1438069596,45.92185022,2.245512221,20.20255847,10166.24341
