Year,GDP,Population,Trade,Urban population growth,PPP conversion factor GDP (LCU per international $),GDP per capita PPP (current international $)
1980,89411864402,29518857,56.50731651,3.199950283,0,0
1981,93141472164,30541044,52.19295563,3.746430976,0,0
1982,85904057409,31615339,47.14181569,3.796086824,0,0
1983,96204110942,32739304,40.25620213,3.833278588,0,0
1984,84870163366,33892788,43.39294129,3.801338029,0,0
1985,64459376087,35042093,47.94826638,3.911658113,0,0
1986,73354771399,36180515,46.64892792,4.270846291,0,0
1987,96535763418,37326190,44.97125413,4.181799998,0,0
1988,103976831871,38480649,45.85131225,4.097202132,0,0
1989,108055624082,39628575,42.69976535,3.979742805,0,0
1990,126048140142,40746268,38.21180092,3.808987294,1.258441169,6381.673364
1991,135203698238,41687898,34.88160926,3.273285306,1.407833834,6382.806793
1992,146956150987,42443509,34.3213535,2.713052891,1.578999755,6275.013265
1993,147194747566,43297156,35.69812435,2.897844167,1.74267163,6374.779125
1994,153512712382,44004139,37.11460917,2.518074835,1.873659482,6611.288645
1995,171735933897,44541554,39.47803378,2.102452843,2.034084272,6875.188386
1996,163234925381,45123018,42.19925173,2.175915164,2.157756854,7208.006032
1997,168978057328,45666838,42.30133443,2.071058209,2.293787696,7433.357859
1998,152982984557,46223880,44.03574534,2.076138501,2.451476685,7463.444552
1999,151516957079,46730335,42.25829602,1.946023672,2.58379166,7666.716162
2000,151752757215,47159719,46.22072174,1.761959346,2.75855373,8095.294289
2001,135429905923,47566800,49.17094519,1.694441849,2.908249268,8428.316817
2002,129087556612,48019415,53.46550163,1.866655175,3.222802163,8792.355886
2003,197018965309,48500348,45.72386257,1.938595668,3.36253789,9138.828238
2004,255806908595,48991421,45.64357522,1.938978392,3.472334094,9713.653485
2005,288867217197,49490033,47.4277814,1.92884715,3.55520901,10440.62751
2006,303858675364,49998277,53.76814127,1.926315606,3.658012401,11250.17956
2007,333077117254,50528584,57.12513914,1.948244316,3.855196267,12046.60511
2008,316131258616,51114599,65.9745238,2.036736312,4.07924672,12525.26303
2009,329754060647,51728516,49.58753533,2.061699036,4.405461533,12261.41159
2010,417363822802,52344051,50.40608716,2.040023107,4.619309414,12637.29122
2011,458199494831,52995205,54.63635044,2.081360927,4.776628494,13143.19334
2012,434400545086,53782567,55.58261719,2.30960217,5.106044878,12986.79767
2013,400886013596,54678791,58.87502763,2.4727083,5.292064846,13369.4382
2014,381198869776,55594838,59.49957406,2.471722472,5.566094923,13358.94172
2015,346709790459,56723537,56.72667614,2.809027158,5.817177329,13397.52348
2016,323585509674,57259551,55.8612575,1.728730316,6.148418341,13519.32351
2017,381448814653,57635162,53.53593183,1.429809339,6.413336754,13738.43859
2018,405260723893,58613001,54.48554513,2.446339636,6.855415344,13347.36348
2019,389330032224,59587885,53.89799641,2.401767164,7.06522131,13361.48513
2020,337974655408,60562381,50.75965908,2.364289028,7.248924255,12671.08624
2021,420886877629,61502603,56.03471384,2.269845322,7.37613821,13711.29357
2022,406920004594,62378410,64.78300213,2.130662336,7.228999653,14759.43507
2023,380699271815,63212384,65.18009555,2.033882016,7.313144846,15194.19918
